Date,Return
2025-06,1.07
2025-05,0.33
2025-04,1.86
2025-03,-0.12
2025-02,-0.41
2025-01,0.54
2024-12,0.65
2024-11,2.35
2024-10,0.04
2024-09,1.27
2024-08,0.72
2024-07,0.74
2024-06,0.5
2024-05,0.21
2024-04,0.88
2024-03,1.84
2024-02,-0.7
2024-01,0.98
2023-12,1.01
2023-11,0.19
2023-10,1.4
2023-09,1.35
2023-08,1.16
2023-07,0.68
2023-06,0.29
2023-05,-0.12
2023-04,0.36
2023-03,-0.68
2023-02,0.42
2023-01,0.99
2022-12,2.89
2022-11,0.22
2022-10,-0.46
2022-09,1.81
2022-08,2.61
2022-07,0.94
2022-06,1.63
2022-05,0.32
2022-04,3.87
2022-03,1.59
2022-02,1.73
2022-01,2.13
2021-12,1.74
2021-11,0.61
2021-10,0.2
2021-09,3.45
2021-08,1.6
2021-07,0.18
2021-06,-1.44
2021-05,-0.63
2021-04,0.88
2021-03,0.97
2021-02,4.64
2021-01,-2.24
2020-12,2.98
2020-11,1.09
2020-10,0.75
2020-09,-0.49
2020-08,1.84
2020-07,2.5
2020-06,1
2020-05,0.79
2020-04,2.56
2020-03,3.85
2020-02,2.12
2020-01,1.05
2019-12,1.78
2019-11,0.38
2019-10,1.21
2019-09,-1.18
2019-08,0.92
2019-07,0.61
2019-06,1.8
2019-05,1.79
2019-04,1.42
2019-03,1.41
2019-02,2
2019-01,1
